标题,创作者,媒介类型,分类,状态,评分,标签,短评金句,深度评价,封面链接,深度评分,艺术评分,情感评分,逻辑评分,难度评分,治愈评分
局外人,加缪,book,存在主义,finished,8.0,加缪;荒诞哲学;局外人;真实,今天，妈妈死了。也许是昨天，我不知道。,加缪荒诞哲学的开山之作。默尔索拒绝在这个虚伪的世界中表演悲伤，以绝对的诚实成为了世俗眼中的局外人。,covers/bgm_136481_i538r.jpg,8.0,8.0,8.0,8.0,5.0,8.0
西西弗神话,加缪,book,哲学随笔,finished,8.0,哲学;荒诞;西西弗斯;反抗,登上顶峰的斗争足以充实一个人的心灵。我们必须想象西西弗是幸福的。,关于生命荒诞与反抗哲学的经典随笔。推石上山的西西弗斯正是每一个直面荒谬人生的清醒反抗者。,covers/bgm_635490_d6ekH.jpg,8.0,8.0,8.0,8.0,5.0,8.0
老人与海,海明威,book,外国文学,finished,8.0,海明威;硬汉文学;尊严;经典,人不是为了失败而生的。一个人可以被毁灭，但不能被打败。,海明威硬汉文学的极简巅峰。圣地亚哥老人与大马林鱼及鲨鱼群的生死搏斗，是人类尊严与不屈意志的永恒赞歌。,covers/bgm_156705_3VOdt.jpg,8.0,8.0,8.0,8.0,5.0,8.0
霍乱时期的爱情,马尔克斯,book,外国文学,finished,8.0,马尔克斯;爱情史诗;半个世纪;经典,在这个世界上，没有任何东西比爱更艰难。,马尔克斯耗费一生心血书写的爱情百科全书。跨越半个多世纪的等待与执念，展现了爱情在面对衰老与死亡时的至高神圣。,covers/bgm_556855_7hv2O.jpg,8.0,8.0,8.0,8.0,5.0,8.0
悲惨世界,雨果,book,外国文学,finished,8.0,雨果;人道主义;救赎;冉阿让,释放无限光明的是人心，制造无边黑暗的也是人心。,法国浪漫主义文学的巍峨巨塔。冉阿让一生的救赎与冉冉升起的人性光辉，跨越两百年依然震撼人心。,covers/bgm_156904_qYLyb.jpg,8.0,8.0,8.0,8.0,5.0,8.0
四世同堂,老舍,book,当代文学,finished,8.0,老舍;京味文学;抗战群像;小羊圈胡同,钱先生把苦痛咽在肚子里，化作了坚硬的骨头。,老舍笔下小羊圈胡同里北平市民在抗战风云中的生死离合，民族气节与世态炎凉的巨幅画卷。,covers/douban_s3424257.jpg,8.0,8.0,8.0,8.0,5.0,8.0
人类简史,尤瓦尔·赫拉利,book,历史通识,finished,8.0,大历史;认知革命;人类学;深度通识,智人之所以能征服世界，是因为创造了虚构的语言与想象的共同体。,宏大的人类进化与文明发展史通识读物。以跨学科视角颠覆我们对农业革命、金钱与宗教的传统认知。,covers/douban_s27814883.jpg,8.0,8.0,8.0,8.0,5.0,8.0
时间简史,霍金,book,科学探索,finished,8.0,宇宙学;黑洞;量子力学;霍金,记住要仰望星空，不要低头看脚下。尝试理解你所看到的，并探寻宇宙存在的原因。,世界级物理学大师写给大众的宇宙学经典。探讨时间起源、黑洞引力与大爆炸理论的壮丽诗篇。,covers/douban_s1914861.jpg,8.0,8.0,8.0,8.0,5.0,8.0
上帝掷骰子吗,曹天元,book,科学探索,finished,8.0,量子物理史话;科普神作;波粒二象性,黄金时代的物理学家们如同普罗米修斯，将量子的火种带到了人间。,国内最生动通俗的量子物理史话。将百年量子力学发展史写得如同一部跌宕起伏的武侠史诗。,covers/douban_s1486674.jpg,8.0,8.0,8.0,8.0,5.0,8.0
经济学原理,曼昆,book,社会科学,finished,8.0,经济学启蒙;微观宏观;十大原理;经典教材,人们面临权衡取舍，某种东西的成本是为了得到它而放弃的东西。,享誉全球的经济学入门教科书。用极其清晰幽默的笔触阐释了市场、价格机制与供求关系。,covers/douban_s33698881.jpg,8.0,8.0,8.0,8.0,5.0,8.0
社会心理学,戴维·迈尔斯,book,社会科学,finished,8.0,心理学经典;从众从善;态度与行为,我们既是环境的产物，也是环境的创造者。,社会心理学领域的权威著作。系统剖析了人类在社会情境中的从众、偏见、利他与人际吸引。,covers/douban_s1670932.jpg,8.0,8.0,8.0,8.0,5.0,8.0
在细雨中呼喊,余华,book,当代文学,finished,8.0,余华;童年记忆;诗意叙事;回望,我是在长大成人以后，才逐渐学会了如何回望那段充满雨水的童年。,余华最具诗意和回忆质感的第一部长篇小说。以碎锦式的结构回望南门小镇少年孙光林的成长记忆。,covers/douban_s34569411.jpg,8.0,8.0,8.0,8.0,5.0,8.0
许三观卖血记,余华,book,当代文学,finished,8.0,余华;父爱如山;民间叙事;时代沧桑,许三观坐在胜利饭店里说：一盘炒猪肝，二两黄酒，黄酒要温一温。,余华民间叙事的巅峰之作。小人物许三观用一次次卖血换来的钱维系起家庭的温饱，饱含底层平民的悲悯与温情。,covers/douban_s24575140.jpg,8.0,8.0,8.0,8.0,5.0,8.0
解忧杂货店,东野圭吾,book,外国文学,finished,8.0,东野圭吾;温情奇幻;浪矢杂货店;治愈,白纸正因为是一张白纸，所以你可以随心所欲地描绘地图。,东野圭吾最温情治愈的长篇小说。穿梭时空的咨询信件，连接起一个个在十字路口迷茫的普通人灵魂。,covers/bgm_177164_jp.jpg,8.0,8.0,8.0,8.0,5.0,8.0
无人生还,阿加莎·克里斯蒂,book,推理小说,finished,8.0,暴风雪山庄;阿婆;孤岛谋杀;推理神作,十个小士兵，出门打牙祭；不幸噎住喉，十个只剩九。,暴风雪山庄模式的鼻祖与无可超越的奇迹。孤岛之上童谣杀人的设定与步步紧逼的窒息悬疑，推理迷必读之作。,covers/bgm_396073_GO8H4.jpg,8.0,8.0,8.0,8.0,5.0,8.0
绝叫,叶真中显,book,推理小说,finished,8.0,社会派推理;孤独死;女性命运;神作,在这个被称为社会的巨大泥潭里，没有人会为你的坠落踩刹车。,当代日本社会派推理的震撼力作。从一具孤独死女尸剥离出整个平成年代女性在家庭与社会双重碾压下的悲剧史诗。,covers/bgm_337991_HTm3A.jpg,8.0,8.0,8.0,8.0,5.0,8.0
消失的十三级台阶,高野和明,book,推理小说,finished,8.0,死刑制度;江户川乱步奖;硬核推理,站在通往绞刑架的十三级台阶前，法律与人性的天平在剧烈摇晃。,荣获第47届江户川乱步奖的杰作。严谨探讨死刑制度与司法正义的硬核推理小说。,covers/douban_s34070178.jpg,8.0,8.0,8.0,8.0,5.0,8.0
恶意的深渊 (恶意),东野圭吾,book,推理小说,finished,8.0,东野圭吾;动机至上;人性嫉妒;恶意,就算被逮捕了，我也毫无悔意。我就是恨他，恨他的一切。,东野圭吾在动机探索上的巅峰之作。无关情仇与利益，仅仅因为纯粹深不见底的嫉妒，便构筑了这场残忍的构陷。,covers/bgm_120043_jp.jpg,8.0,8.0,8.0,8.0,5.0,8.0
我是猫,夏目漱石,book,外国文学,finished,8.0,夏目漱石;讽刺批判;猫眼看人间;名著,在下是猫。名字嘛，目前还没有。人类啊，真是自以为是又愚蠢可笑的生物。,日本国民作家夏目漱石的长篇名作。借一只猫的冷眼旁观，辛辣讽刺了明治维新时期知识分子的虚伪与颓废。,covers/douban_s2507284.jpg,8.0,8.0,8.0,8.0,5.0,8.0
罗生门,芥川龙之介,book,外国文学,finished,8.0,芥川龙之介;人性深渊;各执一词;经典短篇,为了活下去而作恶，究竟算不算罪恶？在罗生门下，真相已随雨水消散。,芥川龙之介探讨人性自私与不可靠叙事的巅峰之作。在绝境面前，人性的善恶边界变得脆弱模糊。,covers/douban_s3435158.jpg,8.0,8.0,8.0,8.0,5.0,8.0
同名同姓受害者协会,下村敦史,book,推理小说,finished,8.0,叙述性诡计;网络暴力;同名同姓;推理,只要拥有相同的名字，便逃不掉网络猎巫的审判与烙印。,极具时代敏锐度的社会派悬疑小说。利用同名同姓的叙述性诡计，深刻控诉了互联网时代人肉搜索与网络暴力的肆虐。,covers/bgm_602142_O20ve.jpg,8.0,8.0,8.0,8.0,5.0,8.0
诡计博物馆,大山诚一郎,book,推理小说,finished,8.0,大山诚一郎;短篇推理;赤色博物馆;冷案重启,沉睡在红色博物馆里的证物，终将在逻辑的阳光下重吐真相。,短篇本格推理之神大山诚一郎的代表作。通过馆藏冷案证物的精准逻辑串联，完成了一次次惊艳的安乐椅侦探反转。,covers/bgm_448954_xcxFM.jpg,8.0,8.0,8.0,8.0,5.0,8.0
全员嫌疑人,大山诚一郎,book,推理小说,finished,8.0,大山诚一郎;华丽本格;多重解答;推理,每个人都有不得不隐藏的秘密，在华丽的解答前，谁也无法逃脱。,大山诚一郎本格推理短篇集。节奏明快、逻辑严密，多重解答层层剥茧。,covers/douban_s34002344.jpg,8.0,8.0,8.0,8.0,5.0,8.0
呼啸山庄,艾米莉·勃朗特,book,外国文学,finished,8.0,勃朗特姐妹;哥特浪漫;狂烈之爱;希斯克利夫,他比我更像我自己。不管我们的灵魂是用什么料子做成的，他的和我的完全一样。,英国文学史上最具原始狂野力量与哥特张力的复仇史诗。希斯克利夫那摧毁一切的疯狂爱意，撼人心魄。,covers/bgm_127782_bSf0j.jpg,8.0,8.0,8.0,8.0,5.0,8.0
蛤蟆先生去看心理医生,罗伯特·戴博德,book,心理成长,finished,8.0,心理学启蒙;童年创伤;自我觉察;治愈,没有一种批判比自我批判更强烈，也没有一个法官比我们自己更严苛。,畅销英国的经典心理咨询启蒙读物。通过蛤蟆先生在苍鹭医生引导下的十次咨询，展现了自我接纳与疗愈的温暖力量。,covers/douban_s33941998.jpg,8.0,8.0,8.0,8.0,5.0,8.0
帷幕,阿加莎·克里斯蒂,book,推理小说,finished,8.0,波洛谢幕;阿婆;斯泰尔斯庄园;终局,再见吧，我的老朋友黑斯廷斯。帷幕落下了，波洛侦探也该安息了。,波洛侦探系列的终曲之作。面对不可绳之以法的终极恶人，迟暮的波洛以自己的生命和信仰为代价，拉下了传奇人生的帷幕。,covers/bgm_411619_m8E7V.jpg,8.0,8.0,8.0,8.0,5.0,8.0
一个叫欧维的男人决定去死,弗雷德里克·巴克曼,book,外国文学,finished,8.0,巴克曼;北欧治愈;暴躁老头;爱与陪伴,爱上一个人就像搬进一座新房子。一开始你只是喜欢它的新奇，后来才熟悉了它的每一个裂痕。,瑞典作家巴克曼风靡全球的温情之作。一个古板暴躁的鳏夫老头，在一群吵闹邻居的关爱中重新寻回活下去的温度。,covers/douban_s29071620.jpg,8.0,8.0,8.0,8.0,5.0,8.0
傲慢与偏见,简·奥斯汀,book,外国文学,finished,8.0,简·奥斯汀;英国文学;达西与伊丽莎白;浪漫经典,傲慢让别人无法爱我，偏见让我无法去爱别人。,英国文学史上最优雅迷人的浪漫经典。伊丽莎白与达西先生在智慧与傲慢、偏见的交锋中，找到了心灵真正的共鸣。,covers/bgm_426638_51raR.jpg,8.0,8.0,8.0,8.0,5.0,8.0
边城,沈从文,book,当代文学,finished,8.0,沈从文;湘西烟雨;翠翠;纯净诗意,这个人也许永远不回来了，也许‘明天’回来！,中国乡土文学最澄澈空灵的诗意丰碑。茶峒小镇的渡船、老船夫的纯良与翠翠的守望，绘就了不惹尘埃的湘西田园牧歌。,covers/bgm_458438_5Co5t.jpg,8.0,8.0,8.0,8.0,5.0,8.0
斜阳,太宰治,book,外国文学,finished,8.0,太宰治;无赖派;没落贵族;凄美,人是为了爱与革命而生的。在没落的黄昏里，我们迎来了属于自己的斜阳。,太宰治战后文学的巅峰力作。描写了战后日本没落贵族家庭在时代剧变下的毁灭与最后的尊严挣扎。,covers/bgm_501590_ppwOL.jpg,8.0,8.0,8.0,8.0,5.0,8.0
基督山伯爵,大仲马,book,外国文学,finished,8.0,大仲马;爽文鼻祖;快意恩仇;等待与希望,人类的一切智慧都包含在这四个字里面：‘等待’和‘希望’。,通俗文学史上不可逾越的复仇神作。爱德蒙·唐泰斯从伊夫堡地牢的囚徒蜕变为复仇之神，快意恩仇的同时展现了宽恕与救赎的真谛。,covers/bgm_116740_5OoZG.jpg,8.0,8.0,8.0,8.0,5.0,8.0
人间失格,太宰治,book,外国文学,finished,8.0,太宰治;生而为人;私小说;绝望自白,生而为人，我很抱歉。只要一想到活着，我的内心就充满了无法言说的恐惧。,太宰治最具震撼力的绝笔自白。以叶藏的视角展现了敏感纤细的心灵在粗暴世俗人间的艰难泅渡与幻灭。,covers/bgm_2176_2866n.jpg,8.0,8.0,8.0,8.0,5.0,8.0
ABC谋杀案,阿加莎·克里斯蒂,book,推理小说,finished,8.0,阿婆;波洛探案;连环杀人;推理经典,字母表上的顺序不过是凶手精心编织的障眼法，真相永远隐藏在最不起眼的角落。,阿加莎连环杀人模式的巅峰之作。按照英国字母表顺序作案的冷血杀手与波洛灰色脑细胞的终极对决。,covers/bgm_218090_H70Fk.jpg,8.0,8.0,8.0,8.0,5.0,8.0
春雪,三岛由纪夫,book,外国文学,finished,8.0,三岛由纪夫;丰饶之海;唯美主义;日式哀伤,就在瀑布的水声与春雪消融的瞬间，那份清澄至极的爱意已化作永恒。,三岛由纪夫《丰饶之海》四部曲第一卷。将大正时代华族贵族的青春爱恋与日式极致物哀美学推向了巅峰。,covers/douban_s4418737.jpg,8.0,8.0,8.0,8.0,5.0,8.0
追风筝的人,卡勒德·胡赛尼,book,外国文学,finished,8.0,胡赛尼;救赎之书;为你千千万万遍;阿富汗,为你，千千万万遍。重新成为好人的路，就在阿富汗那片晴朗的风筝天空下。,感动全球数千万读者的救赎之书。阿米尔与哈桑跨越阶级与苦难的友谊，道出了人类在懦弱与悔恨后寻求宽恕的永恒光芒。,covers/douban_s1727290.jpg,8.0,8.0,8.0,8.0,5.0,8.0
战争与和平,列夫·托尔斯泰,book,外国文学,finished,8.0,托尔斯泰;历史巨著;全景史诗;俄国文学,爱是生活的本质。爱所有的生灵，就是把自己神圣的那一部分献给上帝。,世界文学史上最伟大的全景式历史史诗。托尔斯泰以宏大的视野再现了1812年俄法战争的风云变幻与数百个人物的悲欢离合。,covers/bgm_172940_jHsTY.jpg,8.0,8.0,8.0,8.0,5.0,8.0
生死疲劳,莫言,book,当代文学,finished,8.0,莫言;魔幻现实;六道轮回;高密东北乡,世事犹如书籍，一页页翻过去。生生死死，不过是佛家的一场大梦。,莫言问鼎诺贝尔文学奖的核心代表作。地主西门闹经历驴、牛、猪、狗、猴六道轮回，见证了中国农村半个世纪的风云变迁。,covers/douban_s35289336.jpg,8.0,8.0,8.0,8.0,5.0,8.0
谋杀启事,阿加莎·克里斯蒂,book,推理小说,finished,8.0,阿婆;马普尔小姐;乡村悬疑;经典,报纸上刊登了一则将于周五晚七点举行的谋杀预告，邻居们以为是游戏，却迎来了真实的枪声。,马普尔小姐系列的杰出代表作。将英国乡村平静生活下的暗流涌动与心理谜题巧妙交融。,covers/bgm_410675_Vx37q.jpg,8.0,8.0,8.0,8.0,5.0,8.0
雾都孤儿,查尔斯·狄更斯,book,外国文学,finished,8.0,狄更斯;批判现实主义;伦敦雾都;奥利弗,无论处在怎样的泥潭与黑暗中，纯善的心灵总能守候到晨曦的微光。,狄更斯批判现实主义的名作。孤儿奥利弗在19世纪伦敦黑暗底层的挣扎与坚守，充满了对底层苦难的深切同情。,covers/bgm_143159_b135f.jpg,8.0,8.0,8.0,8.0,5.0,8.0
人间椅子,江户川乱步,book,外国文学,finished,8.0,江户川乱步;猎奇推理;心理异化;经典短篇,我将自己缝进了这张华丽的扶手椅中，日夜感受着坐在上面之人的呼吸与心跳。,日本变格派推理鼻祖江户川乱步的惊悚名作。将病态诡异的心理执念与出人意料的反转融为一体。,covers/bgm_612863_HxOOQ.jpg,8.0,8.0,8.0,8.0,5.0,8.0
雪国,川端康成,book,外国文学,finished,8.0,川端康成;诺奖文学;极致物哀;驹子,穿过县界长长的隧道，便是雪国。夜空下一片白茫茫，银河倾泻而下。,川端康成唯美主义与日本物哀文学的巅峰。雪国温泉旅馆中驹子如飞蛾扑火般的爱与徒劳，美得令人心碎。,covers/bgm_366887_6e7e8.jpg,8.0,8.0,8.0,8.0,5.0,8.0
伊豆的舞女,川端康成,book,外国文学,finished,8.0,川端康成;纯真初恋;清新哀伤;伊豆半岛,在伊豆清冽的山道上，舞女薰纯洁无瑕的笑容，洗净了我少年心中所有的孤郁。,川端康成清新唯美的早期成名作。记录了青年学生与流浪舞女之间朦胧纯真而又不得不告别的青春初恋。,covers/bgm_296767_0oKUU.jpg,8.0,8.0,8.0,8.0,5.0,8.0
蛇结,弗朗索瓦·莫里亚克,book,外国文学,finished,8.0,诺贝尔文学奖;心理剖析;金钱与亲情;救赎,我的心是一团纠缠不清的毒蛇之结，被贪婪和怨恨所窒息，直到最后才渴望着爱的解脱。,法国诺贝尔文学奖得主莫里亚克的代表作。通过一位守财奴临终前的自白信，剖析了家庭内部金钱欲望与亲情背叛的深渊。,covers/douban_s35106938.jpg,8.0,8.0,8.0,8.0,5.0,8.0
