标题,创作者,媒介类型,分类,状态,评分,标签,短评金句,深度评价,封面链接,深度评分,艺术评分,情感评分,逻辑评分,难度评分,治愈评分
女神异闻录3 Reload,ATLUS · P-Studio,game,日系角色扮演,finished,4.9,P3R;铭记死亡;影时间;ATLUS;神作重制,Memento Mori（铭记死亡）。在影时间中直面终焉与救赎，化作永恒的迎春花。,P3 系列的终极完全重制。深邃的生死哲学命题、鞑靼罗斯之塔探索与经典人格面具召唤，催人泪下的灵魂篇章。,file:///android_asset/covers/steam_2179850_library_600x900.jpg,9.8,9.6,10.0,9.0,6.5,8.5
女神异闻录4 黄金版,ATLUS · P-Studio,game,日系角色扮演,finished,4.9,P4G;八十稻羽;深夜电视;真理追寻;黄金青春,拨开深夜电视的迷雾，追寻无可取代的羁绊与唯一的真实。,充满稻羽市乡村阳光与青春回忆的侦探物语。自称特别搜查队的伙伴们在电视世界中直面真实自我的温暖传奇。,file:///android_asset/covers/steam_1221250_library_600x900.jpg,9.2,9.4,9.8,9.0,5.5,9.8
暗喻幻想：ReFantazio,ATLUS · Studio Zero · 桥野桂,game,日系角色扮演,finished,5.0,桥野桂;ATLUS;选举之王;年度RPG;幻想史诗,打破血统与种族的枷锁，在没有偏见的幻想世界中，为人民加冕为王！,桥野桂、副岛成记、目黑将司铁三角打造的全新幻想 RPG 巅峰。探讨焦虑与乌托邦政治选举的哲学巨作。,file:///android_asset/covers/steam_2670770_library_600x900.jpg,9.6,9.8,9.5,9.4,6.5,9.0
神之天平（ASTLIBRA Revision）,KEIZO · DX Library,game,横版动作RPG,finished,5.0,神作;神级剧本;一人十四年;时间跨越;热血反转,跨越十四年的时光执念，与乌鸦嘉隆一同拨动命运的天平，向神明挥剑！,一人独立开发十四年的传世独立神作。无可挑剔的剧本层层反转、极度爽快的横版刷宝战斗与宏大的宿命交响。,file:///android_asset/covers/steam_1718570_library_600x900.jpg,9.8,9.2,10.0,9.6,7.5,9.2
Granblue Fantasy: Relink,Cygames,game,日系动作共斗,finished,4.8,骑空团;Cygames;奥义连锁;日系共斗;王道冒险,向着星之岛伊斯塔鲁西亚扬帆！骑空团四人连携奥义，在云海之上斩落巨兽！,Cygames 匠心打磨的日式动作共斗佳作。极具冲击力的奥义连锁 Chain Burst 与王道冒险物语。,file:///android_asset/covers/steam_881020_library_600x900.jpg,8.5,9.6,9.4,8.8,6.5,9.0
莱莎的炼金工房 ～常暗女王与秘密藏身处～,GUST · 光荣特库摩,game,日系炼金RPG,finished,4.8,莱莎;炼金工房;夏日冒险;治愈日常,库肯岛的夏日微风与炼金大锅，属于平凡少女不可思议的盛夏冒险！,炼金工房系列最畅销之作。充满乡村夏日惬意风情的探索采集与合成系统。,file:///android_asset/covers/steam_1152620_library_600x900.jpg,8.2,9.2,9.2,9.0,4.0,9.8
杀戮尖塔,Mega Crit Games,game,肉鸽卡牌,finished,5.0,肉鸽神作;卡牌构筑;DBG鼻祖;策略巅峰;无尽爬塔,高塔的心脏仍在跳动，一次又一次构筑你的套牌向顶端发起冲击！,DBG（卡组构筑）肉鸽游戏的现代鼻祖与黄金标准。四种机制迥异的职业与近乎完美的数值平衡，造就了令人欲罢不能的爬塔体验。,file:///android_asset/covers/steam_646570_library_600x900.jpg,8.5,8.8,8.5,10.0,8.8,7.5
杀戮尖塔 2,Mega Crit Games,game,肉鸽卡牌,wishlist,5.0,尖塔续作;肉鸽期待;卡牌神作;死灵术士,千年之后，高塔再次开启。死灵法师与全新遗物，迎接全新的爬塔传奇！,万众期待的爬塔正统续作。全新引擎打造，引入全新职业死灵术士、剧毒机制与跨时代卡牌联动。,file:///android_asset/covers/steam_2868840_library_600x900.jpg,8.8,9.0,8.8,10.0,9.0,8.0
Hades,Supergiant Games,game,动作肉鸽,finished,5.0,动作肉鸽巅峰;希腊神话;扎格列欧斯;Supergiant,在冥界深渊中一次又一次逃脱，哪怕死亡也无法阻止寻找母亲的脚步！,将希腊神话群像剧本与动作肉鸽爽快打击感无缝融合的典范神作。每一次死亡都会推进全新剧情对话。,file:///android_asset/covers/steam_1145360_library_600x900.jpg,9.0,9.8,9.5,9.6,8.0,9.0
Dead Cells,Motion Twin,game,横版肉鸽动作,finished,4.9,横版肉鸽;爽快打击;无头宿主;皇室城堡,菜就多练！翻滚、格挡、狂暴输出，在不断重生的牢房中杀出一条血路！,打击感与动作流畅度首屈一指的横版银河恶魔城肉鸽。百种武器搭配与细胞升级体系极具深度。,file:///android_asset/covers/steam_588650_library_600x900.jpg,8.0,9.2,8.0,9.5,9.2,8.0
Hollow Knight,Team Cherry,game,银河恶魔城,finished,5.0,银河恶魔城巅峰;圣巢;小骑士;丝之歌;神作,没有可以思考的心智，没有可以屈服的意志。小骑士穿越圣巢废墟，封印终极瘟疫光芒。,银河恶魔城类型的无上丰碑。精雕细琢的昆虫王国地下世界、手绘哥特暗黑美学与富有挑战性的 BOSS 战体验。,file:///android_asset/covers/steam_367520_library_600x900.jpg,9.6,10.0,9.5,9.5,9.5,7.0
Celeste,Extremely OK Games,game,平台跳跃神作,finished,5.0,TGA最佳影响力;硬核跳跃;战胜抑郁;神级配乐,深呼吸，你可以战胜心中的恐慌与阴暗面。登上塞莱斯特山顶吧，玛德琳！,关卡设计与心理叙事完美交融的神作。通过攀登险峻雪山的硬核跳跃，帮助无数抑郁与焦虑症患者战胜心魔。,file:///android_asset/covers/steam_504230_library_600x900.jpg,9.2,9.8,10.0,9.8,9.6,10.0
挺进地牢,Dodge Roll,game,弹幕射击肉鸽,finished,4.9,弹幕肉鸽;消灭过去;翻滚无敌;像素射击,翻滚规避弹幕，消灭过去之枪！在无尽地牢中收集百种枪械狂欢！,将弹幕射击与武器创意发挥到极致的像素肉鸽。翻滚无敌帧与掀桌掩体的快感。,file:///android_asset/covers/steam_311690_library_600x900.jpg,8.0,9.0,8.5,9.6,9.0,8.5
土豆兄弟(Brotato),Blobfish,game,爽快割草肉鸽,finished,4.8,割草神作;六枪土豆;上头解压;构筑狂欢,手持六把加特林，在疯狂外星虫潮中横扫千军！极致解压的五分钟爽快割草。,极简画面下蕴含无尽策略深度的自走割草肉鸽神作。,file:///android_asset/covers/steam_1942280_library_600x900.jpg,7.5,8.5,8.0,9.8,7.5,9.5
苍翼：混沌效应,91Act,game,横版动作肉鸽,finished,4.8,苍翼默示录;丝滑动作;赛博肉鸽;横版连招,潜入意识空间，在混沌霓虹中打出无缝连段与潜能质变！,格斗游戏级丝滑手感的横版动作肉鸽。苍翼默示录经典角色与潜能继承系统。,file:///android_asset/covers/steam_2273430_library_600x900.jpg,8.5,9.4,8.8,9.0,8.0,8.5
Library Of Ruina,Project Moon,game,卡牌策略RPG,finished,4.9,Project Moon;罗兰;都市残酷;卡牌策略,愿你在此找到想要的书。在都市的残酷齿轮下，司书罗兰与安吉拉的舞台！,独一无二的脑叶公司世界观衍生神作。极具深度的骰子卡牌拼点与宏大的都市悲喜剧。,file:///android_asset/covers/steam_1256670_library_600x900.jpg,9.6,9.8,9.6,9.8,9.0,7.5
Limbus Company,Project Moon,game,回合制策略RPG,finished,4.8,边狱公司;罪人巴士;但丁;都市物语,引导十二位罪人，穿梭于都市二十六个巢区，回收金枝！,黑暗哥特风格的都市罪人救赎物语。硬核硬派的回合拼点与深度群像叙事。,file:///android_asset/covers/steam_1973530_library_600x900.jpg,9.4,9.6,9.4,9.6,8.5,7.5
To the Moon《去月球》,Freebird Games · 高瞰,game,叙事催泪神作,finished,5.0,催泪天花板;神级配乐;去月球;纯真爱恋;心灵洗礼,如果我迷路了，我们就在月亮上相见！折一只纸兔子，跨越记忆的长河奔向你。,游戏艺术史上最纯粹的心灵震撼。用钢琴声和像素画面谱写了一曲关于阿斯伯格综合征、承诺与跨越生死的至高爱之诗。,file:///android_asset/covers/steam_206420_library_600x900.jpg,9.5,10.0,10.0,8.8,2.0,10.0
Finding Paradise《寻找天堂》,Freebird Games · 高瞰,game,叙事催泪神作,finished,5.0,寻找天堂;Freebird;自我和解;催泪感动,即便一生充满平淡与遗憾，我也曾拥有过属于自己的幻想之翼与真实人生。,去月球正统续作。探讨与自我和解、童年幻想朋友菲耶与接受不完美人生的温柔篇章。,file:///android_asset/covers/steam_337340_library_600x900.jpg,9.4,9.8,10.0,8.6,2.0,10.0
Impostor Factory《影子工厂》,Freebird Games · 高瞰,game,悬疑叙事,finished,4.8,影子工厂;Freebird;悬疑科幻;时间轮回,在暴雨古宅与量子蝴蝶翅膀之间，用一杯红茶倒映出宇宙全息生命的悲喜。,Freebird 系列第三部曲。融入悬疑谋杀与科幻轮回，揭示记忆修改技术的起源与母爱的深邃奇迹。,file:///android_asset/covers/steam_1182620_library_600x900.jpg,9.2,9.5,9.6,9.0,3.0,9.2
A Bird Story,Freebird Games · 高瞰,game,唯美治愈,finished,4.8,无字短篇;唯美治愈;童真梦境;温暖,无字的长卷，一个小男孩与一只断翅小鸟的纯真童梦飞行。,没有任何台词纯靠画面与音乐推动的唯美短篇。连接《去月球》与《寻找天堂》的心灵纽带。,file:///android_asset/covers/steam_265610_library_600x900.jpg,8.5,9.5,9.5,7.5,1.5,10.0
ATRI -My Dear Moments-,Frontwing · 枕社,game,视觉小说,finished,4.9,ATRI;亚托莉;沉没末日;仿生少女;催泪神作,即便地表沉入海底，即便机能停止运转，我也要为你献上最后四十五天的璀璨微笑。,末日与仿生少女相伴的心灵物语。探讨情感与灵魂存在意义的催泪视觉小说巅峰。,file:///android_asset/covers/steam_1290260_library_600x900.jpg,9.0,9.6,10.0,8.5,2.0,9.8
Ori and the Will of the Wisps,Moon Studios,game,唯美动作冒险,finished,5.0,视听艺术;奥日2;唯美动作;萤火意志;催泪感动,为了守护森林与挚友库，微光化作永恒的神圣古树，拥抱光明。,艺术品级别的视听盛宴。流畅如丝绸的位移手感与直击心灵的交响乐，将光与暗的牺牲救赎演绎到极致。,file:///android_asset/covers/steam_1057090_library_600x900.jpg,9.0,10.0,10.0,9.0,7.5,9.8
Ori and the Blind Forest,Moon Studios,game,唯美动作冒险,finished,4.9,水彩童话;尼贝尔森林;母爱挽歌;唯美跳跃,在尼贝尔森林枯萎的黑暗中，小精灵奥日点亮希望的第一缕微光。,如同在动态水彩画中奔跑的艺术巨作。开场十分钟母子情深的动画让无数玩家潸然泪下。,file:///android_asset/covers/steam_387290_library_600x900.jpg,8.8,10.0,9.8,8.8,7.0,9.8
赛博朋克 2077,CD PROJEKT RED,game,开放世界RPG,finished,4.9,夜之城;赛博朋克;强尼银手;往日之影;CDPR,夜之城没有活着的传奇。大闹一场吧V，把荒坂塔点燃，敬所有的来生酒！,科幻赛博朋克视觉艺术与沉浸叙事的集大成之作。强尼·银手的意识寄生与夜之城冷血资本下的悲壮挽歌。,file:///android_asset/covers/steam_1091500_library_600x900.jpg,9.5,9.8,9.8,8.8,6.5,8.0
巫师 3：狂猎,CD PROJEKT RED,game,开放世界RPG,finished,5.0,年度最佳;白狼;欧美RPG巅峰;石之心;血与酒,恶就是恶，无论是大恶还是小恶，如果要我二选一，我宁愿什么都不选。白狼杰洛特与希里。,欧美 RPG 叙事不可逾越的高山。从血腥男爵的悲剧到陶森特的阳光葡萄园，展现了最真实的人性灰度与史诗冒险。,file:///android_asset/covers/steam_292030_library_600x900.jpg,9.8,9.8,9.8,9.5,6.5,8.5
底特律：化身为人类,Quantic Dream,game,互动电影叙事,finished,4.9,互动电影;仿生人觉醒;康纳酱;自由之声;蝴蝶效应,我是一个有感觉的生命，我不是机器。康纳、马库斯与卡拉的觉醒之歌。,互动电影游戏的巅峰代表作。庞大复杂的蝴蝶效应分支树与探讨仿生人自我意识、人权与自由的深刻命题。,file:///android_asset/covers/steam_1222140_library_600x900.jpg,9.5,9.5,9.8,9.4,4.0,9.0
饥荒,Klei Entertainment,game,生存沙盒,finished,4.9,硬核生存;哥特手绘;San值狂掉;联机神作,在永夜与疯癫降临前点燃火把。活下去，在这个充满哥特荒诞的荒野世界！,暗黑手绘哥特风生存沙盒的巅峰。理智值（San值）与四季生物群系的机制让人沉浸其中数百小时。,file:///android_asset/covers/steam_219740_library_600x900.jpg,8.8,9.5,8.8,9.5,8.8,8.0
缺氧,Klei Entertainment,game,硬核模拟经营,finished,4.9,硬核科学;自动化工程;Klei;小行星殖民,热力学定律在小行星内部运作。调配每一口氧气与热量，带领复制人建立太空文明！,硬核物理热力学与自动化工程模拟的天花板。管道、电路与气体液体的流动构建了无与伦比的工业美学。,file:///android_asset/covers/steam_457140_library_600x900.jpg,9.0,9.0,8.0,10.0,9.8,8.0
极限竞速：地平线 4,Playground Games,game,竞速汽车文化,finished,4.9,地平线4;四季更迭;英伦漫游;赛车巅峰,四季更迭的英伦风光，在爱丁堡的落叶与雪原上肆意漂移，享受纯粹的驾驶浪漫！,开放世界赛车游戏的殿堂标杆。如画的英伦乡间与上百款超跑的声浪交响。,file:///android_asset/covers/bgm_471932_uHoWl.jpg,7.5,9.8,8.5,8.5,4.5,10.0
《猎人：荒野的召唤™》,Expansive Worlds,game,荒野沉浸模拟,finished,4.8,大自然漫步;荒野召唤;极致风景;沉浸模拟;治愈养生,在莱顿湖区的晨雾与林风中驻足，倾听荒野最纯净的呼吸与生命律动。,大自然风光沉浸感第一的荒野漫步模拟器。极其逼真的植被光影、动物足迹追踪与风向气味系统。,file:///android_asset/covers/steam_518790_library_600x900.jpg,8.0,9.8,8.5,9.0,5.0,10.0
房产达人,Frozen District,game,沉浸装修模拟,finished,4.8,极度解压;房屋翻新;室内设计;模拟经营,挥动大锤砸碎旧墙，铺设全新地板与暖光。亲手打造独一无二的心灵居所！,极度解压上头的房屋翻新改造模拟器。从破旧瓦房到奢华别墅的成就感满满。,file:///android_asset/covers/steam_613100_library_600x900.jpg,7.5,9.0,8.5,8.8,3.0,10.0
冒险村物语 (Dungeon Village),开罗游戏 Kairosoft,game,经典像素模拟,finished,4.9,开罗游戏;像素模拟;勇者冒险;经典治愈,在村口建立旅馆与武器店，吸引勇者们定居，打造世界第一的冒险之村！,开罗像素模拟经营的经典代表作。看着冒险者们升级装备、讨伐巨龙并入住村庄，充满纯粹的养成快乐。,file:///android_asset/covers/steam_1859360_library_600x900.jpg,7.5,9.0,9.0,9.2,3.0,10.0
Beholder,Warm Lamp Games,game,反乌托邦道德抉择,finished,4.8,反乌托邦;道德抉择;极权阴影;人性拷问,在极权公寓的锁孔后窥视住户。服从法令还是拯救良知？每一次告密都在拷问人性。,冷峻的反乌托邦道德抉择神作。在生存重压与人性善念之间的艰难博弈。,file:///android_asset/covers/steam_475550_library_600x900.jpg,9.5,9.2,9.4,9.2,6.5,6.0
烟火,拾英工作室,game,中式悬疑解谜,finished,5.0,中式恐怖;拾英工作室;田芳芳;催泪悬疑;时代悲悯,愿你此去，前程似锦，再无羁绊。送林理洵与田芳芳最后一程烟火。,最具中式人情味与时代悲悯感的悬疑叙事神作。凄美的水彩国风与直击人心的乡村迷信悲剧。,file:///android_asset/covers/steam_1509960_library_600x900.jpg,9.5,9.6,10.0,9.2,4.0,9.5
黑森町绮谭,拾英工作室,game,日系悬疑解谜,finished,4.9,昭和物语;拾英工作室;妖怪奇谭;治愈感动,昭和泡沫时代的电车与妖怪物语。黑森町的樱花树下，告别过往的执念。,拾英工作室开山之作。浪漫奇幻与现实历史相交融的叙事神作。,file:///android_asset/covers/steam_1093910_library_600x900.jpg,9.0,9.5,9.8,9.0,3.5,9.5
小小梦魇 强化版,Tarsier Studios,game,悬疑解谜恐怖,finished,4.9,心理恐怖;黄色雨衣小六;环境叙事;艺术解谜,黄色雨衣小六在贪颚号巨轮中穿行。饥饿与深渊之下，逃离扭曲成人的诡异梦魇。,微缩视角下的心理恐怖神作。精妙绝伦的环境叙事与无台词压迫感，探讨童年恐惧与人性异化。,file:///android_asset/covers/steam_424840_header.jpg,9.2,9.8,9.2,9.2,6.0,6.0
小小梦魇2,Tarsier Studios,game,悬疑解谜恐怖,finished,4.9,小小梦魇2;纸袋头摩诺;电视电波;背叛轮回,纸袋头少年摩诺牵起小六的手，穿越被信号塔扭曲的苍白之城。,直击心灵的续作巅峰。令人心碎的终极反转与宿命循环。,file:///android_asset/covers/steam_860510_library_600x900.jpg,9.4,9.8,9.6,9.4,6.5,6.0
Ib,kouri,game,日系RPG解谜,finished,5.0,四大名著RPG;红黄蓝玫瑰;Garry;催泪经典,红黄蓝三色玫瑰，与 Garry 一起在格鲁特纳的美术馆中逃离无尽画布，永恒的约定。,四大经典 RPG 恐怖解谜之首。充满艺术感的美术馆谜题与深深打动无数人的角色羁绊。,file:///android_asset/covers/steam_1901370_library_600x900.jpg,9.2,9.8,10.0,9.0,4.0,9.2
港诡实录,Ghostpie Games,game,中式民俗恐怖,finished,4.6,港风恐怖;九龙城寨;粤剧民俗;佳慧,九龙城寨的狭窄弄堂与粤剧回响。嘉慧，不要回头！,充满老香港都市传说与九龙城寨民俗文化的沉浸式恐怖解谜。,file:///android_asset/covers/steam_1256760_library_600x900.jpg,8.0,8.8,8.5,8.6,6.0,5.0
Dying Light,Techland,game,开放世界丧尸跑酷,finished,4.8,哈兰跑酷;夜魔追逐;抓钩起飞;丧尸生存,好夜晚，好运气。在哈兰市的屋顶上飞跃，夜晚降临后与夜魔展开生死追逐！,丧尸跑酷题材的巅峰代表作。白天搜刮物资夜晚狂奔逃命的极致肾上腺素刺激。,file:///android_asset/covers/steam_239140_library_600x900.jpg,8.0,8.8,8.5,8.8,7.5,8.0
雅皮士精神,Baroque Decay,game,职场像素恐怖,finished,4.8,职场恐怖;像素解谜;辛特拉女巫;荒诞讽刺,入职世界第一巨头辛特拉集团的第一天，任务是猎杀盘踞在公司的女巫！,荒诞职场讽刺与像素心理恐怖的绝妙融合。九十年代复古美学与深层反资本隐喻。,file:///android_asset/covers/steam_485610_library_600x900.jpg,9.0,9.5,9.0,9.2,5.5,7.5
灰烬之棺 Coffin of Ashes,二律背反,game,日系悬疑解谜,finished,4.7,日系解谜;暴雨古宅;多结局;悬疑微恐,暴雨夜被困于神秘古宅，在血色与灰烬的记忆中找寻失落的真相。,氛围极佳的日系微恐 RPG 解谜游戏。优美的立绘配乐与多结局救赎。,file:///android_asset/covers/steam_546080_library_600x900.jpg,8.8,9.2,9.4,8.8,4.0,8.0
白色情人节：恐怖学校,SONNORI,game,第一人称恐怖,finished,4.7,校园恐怖;深夜逃生;东方惊悚;经典重制,深夜潜入延斗高中送糖果，却陷入恶灵与疯狂守卫巡逻的致命迷宫！,经典东方校园恐怖的先驱之作。无武器反抗机制带来的极致惊悚逃生体验。,file:///android_asset/covers/steam_387240_library_600x900.jpg,8.2,8.8,8.5,8.8,7.5,5.0
Lakeview Cabin Collection,Roope Tamminen,game,复古砍杀解谜,finished,4.7,复古恐怖;B级片解谜;脑洞大开;湖景小屋,致敬八十年代经典 B 级恐怖电影。用场景中一切荒谬道具反杀面具杀人魔！,脑洞极大、解法极度自由的像素沙盒恐怖解谜神作。,file:///android_asset/covers/steam_356570_library_600x900.jpg,8.5,9.0,8.0,9.5,8.5,7.0
Plants vs. Zombies: Game of the Year,PopCap Games · 宝开,game,经典塔防,finished,5.0,童年神作;PopCap巅峰;戴夫疯狂;经典塔防,屋顶上的玉米加农炮与后院泳池的向日葵。There's a Zombie on your Lawn!,承载整整一代人童年欢笑的塔防艺术极品。无懈可击的节奏平衡与充满创意的植物僵尸设计。,file:///android_asset/covers/bgm_1859_GM4r4.jpg,8.0,9.5,9.5,9.5,4.0,10.0
Kingdom Rush,Ironhide Game Studio,game,经典策略塔防,finished,5.0,塔防教科书;Ironhide;为了国王;策略巅峰,For the King! 弓箭塔、法师塔与圣骑士，誓死捍卫利尼维亚王国的荣耀！,被誉为传统策略塔防顶峰的乌拉圭独立神作。极具深度的英雄操控与地形战术配置。,file:///android_asset/covers/steam_246420_library_600x900.jpg,8.2,9.2,8.8,9.8,7.5,9.0
Kingdom Rush Frontiers,Ironhide Game Studio,game,经典策略塔防,finished,5.0,前线突破;外星异形;沙漠丛林;塔防神作,迎击沙漠强盗与丛林巨怪！全面进阶的英雄技能与防御工事。,王国保卫战系列集大成之作。更多变的地形危机与更刺激的 BOSS 决战。,file:///android_asset/covers/steam_246580_library_600x900.jpg,8.2,9.2,8.8,9.8,7.5,9.0
雀魂麻将,猫粮工作室 · 悠星网络,game,日麻竞技,finished,4.8,雀魂;立直一发;国士无双;日麻对局,立直！一发！自摸！断幺九也能点燃役满的牌桌奇迹。,将日式立直麻将与二次元角色立绘完美结合的现象级竞技棋牌。,file:///android_asset/covers/bgm_250372_lr1qD.jpg,7.5,9.0,8.8,9.8,7.0,8.5
人类一败涂地 / Human Fall Flat,No Brakes Games,game,物理合家欢,finished,4.8,面条人;沙雕开黑;物理引擎;爆笑解压,摇摇晃晃的面条人，与好友互相拉扯坠落悬崖的欢笑时光。,软体物理引擎带来的纯粹友谊与欢笑。最适合与朋友一起开黑解谜的解压神作。,file:///android_asset/covers/steam_477160_library_600x900.jpg,7.0,8.8,9.6,8.0,3.0,10.0
Goose Goose Duck,Gaggle Studios,game,社交推理,finished,4.8,鹅鸭杀;鹈鹕吃人;社交推理;开黑神器,我是好鹅！别刀我！充满心机与爆笑的太空飞船社交推理派对。,丰富职业设定与语音互动的现象级社交推理合家欢神作。,file:///android_asset/covers/steam_1568590_header.jpg,7.5,8.8,9.5,9.5,5.0,9.5
Among Us,Innersloth,game,社交推理,finished,4.8,太空狼人杀;内鬼冒充;紧急会议;经典开黑,内鬼就在我们之中！修理飞船、跳通风管，展开斗智斗勇的紧急会议投票。,掀起全球太空狼人杀狂潮的经典独立社交推理神作。,file:///android_asset/covers/steam_945360_library_600x900.jpg,7.5,8.8,9.4,9.5,5.0,9.5
Counter-Strike 2,Valve,game,战术射击竞技,finished,4.8,CS2;V社电竞;急停爆头;战术竞技,一颗闪光弹，一次冷静的急停爆头，为了团队拆除炸弹的最后一秒！,FPS 电子竞技的不朽基石。起源2引擎下的全新烟雾物理与极致硬核枪法对决。,file:///android_asset/covers/steam_730_library_600x900.jpg,7.5,8.5,8.8,9.5,9.5,7.5
使命召唤®,Activision,game,电影化FPS,finished,4.8,使命召唤;普莱斯队长;现代战争;电影化射击,"Bravo Six, Going Dark. 普莱斯队长带领第141特遣队深入敌后！",电影化第一人称射击叙事的教科书巅峰。震撼的宏大战争场面与绝佳手感。,file:///android_asset/covers/steam_393080_header.jpg,8.0,9.2,9.0,8.8,7.0,8.0
《战地风云 5》,DICE · EA,game,二战战场模拟,finished,4.8,二战战场;寒霜引擎;大战场协同;破坏物理,在鹿特丹的断壁残垣与北非沙漠中冲锋，体验二战浩瀚沙场的震撼与残酷。,寒霜引擎打造的顶级二战战场视听。破坏物理效果与大战场兵种协同作战的极致体验。,file:///android_asset/covers/steam_1238840_library_600x900.jpg,8.0,9.2,8.5,9.0,7.5,7.5
