媒介,标题,创作者,分类,状态,评分,标签,一句话短评,长评,封面链接,开始日期,完成日期,购入渠道,存放位置,装帧/形态,价格
番剧,约会大作战,元永庆太郎 · AIC PLUS+,奇幻恋爱,读完,4.5,2013年、约战、精灵、十香,那么，开始我们的约会吧。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/99/08/49131_CIPjC.jpg,2013-01-01,2013-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,JOJO 的奇妙冒险 星尘远征军,津田尚克 · david production,奇幻热血,读完,5.0,2014年、JOJO、替身白金之星、承太郎,正义必然会战胜邪恶，因为你惹怒了我。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/61/c0/61534_55bd5.jpg,2014-01-01,2014-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,月刊少女野崎君,山崎光惠 · 动画工房,搞笑恋爱,读完,4.8,2014年、搞笑、少女漫画、野崎君与佐仓,我很喜欢哦，看烟花的时候你也是这么想的吧。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/a0/20/100449_d101j.jpg,2014-01-01,2014-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,Charlotte (夏洛特),麻枝准 · P.A.WORKS,超能青春,读完,4.6,2015年、麻枝准、超能力、友利奈绪,掠夺全世界的超能力，只为了守护你一个人的约定。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/9b/d6/120925_Zp040.jpg,2015-01-01,2015-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,我的青春恋爱物语果然有问题 续,及川启 · feel.,青春思辨,读完,4.9,2015年、春物续、雪乃、团子、寻找真物,我不想要被欺瞒的理解，我想要的是真正的真物。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/1e/f1/54433_JZ99l.jpg,2015-01-01,2015-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,路人女主的养成方法,龟井干太 · A-1 Pictures,青春恋爱,读完,4.7,2015年、路人女主、加藤惠、圣人惠,将不起眼的你，培养成心动的主角。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/8b/4c/231497_tZxtU.jpg,2015-01-01,2015-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,齐木楠雄的灾难,樱井弘明 · J.C.STAFF,搞笑日常,读完,4.9,2016年、超能力搞笑、齐神、咖啡果冻,呀咧呀咧，虽然超能力很麻烦，但平静的高中生活才是终极目标。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/b3/28/181354_smUU3.jpg,2016-01-01,2016-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,JOJO 的奇妙冒险 不灭钻石,津田尚克 · david production,奇幻热血,读完,5.0,2016年、杜王町、东方仗助、吉良吉影,黄金精神永不熄灭，守护杜王町的日常与正义。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/61/c0/61534_55bd5.jpg,2016-01-01,2016-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,在下坂本，有何贵干？,高松信司 · Studio Deen,搞笑日常,读完,4.7,2016年、装逼如风、坂本大佬、日常搞笑,无论面对何种刁难，都要以最优雅从容的姿态化解。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/7c/01/165829_cwSZV.jpg,2016-01-01,2016-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,灵能百分百,立川让 · BONES 骨头社,热血成长,读完,5.0,2016年、骨头社、龙套、灵幻新隆,超能力只是个性的一种，并不代表高人一等，重要的是如何做个好人。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/48/a6/228109_wb3bL.jpg,2016-01-01,2016-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,夏目友人帐 伍,出合小都美 · 朱夏,治愈妖怪,读完,4.9,2016年、夏目友人帐5、治愈、妖怪物语,那些温暖的羁绊，会在岁月的河流里永恒闪光。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/cf/a0/259_7C5D9.jpg,2016-01-01,2016-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,来自深渊,小岛正幸 · Kinema Citrus,黑暗奇幻,读完,5.0,2017年、阿比斯深渊、黎明卿、斯巴拉西,深渊在凝视着你，探窟者的灵魂永不停歇地追寻未知的深处。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/e2/fd/230914_fJJ0J.jpg,2017-01-01,2017-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,笨女孩,草川启造 · Diomedéa,搞笑日常,读完,4.5,2017年、猴子香蕉、花畑佳子、爆笑解压,只要有香蕉吃，智商什么的根本不重要！,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/bf/83/208450_0l5MJ.jpg,2017-01-01,2017-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,欢迎来到实力至上主义教室,岸诚二 · Lerche,悬疑校园,读完,4.6,2017年、路哥、绫小路清隆、实力至上,所有人对我来说都不过是棋子，只要最后获胜的是我就行了。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/87/01/214272_vlcWz.jpg,2017-01-01,2017-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,夏目友人帐 陆,出合小都美 · 朱夏,治愈妖怪,读完,4.9,2017年、夏目友人帐6、治愈、岁月温柔,只要有想见的人，就不是孤身一人。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/cf/a0/259_7C5D9.jpg,2017-01-01,2017-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,路人女主的养成方法 2,龟井干太 · A-1 Pictures,青春恋爱,读完,4.8,2017年、路人女主2、同人游戏制作、加藤惠,我们所创作的游戏，就是倾注了所有青春热忱的证明。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/8b/4c/231497_tZxtU.jpg,2017-01-01,2017-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,JOJO 的奇妙冒险 黄金之风,津田尚克 · 木村泰大 · david production,奇幻热血,读完,5.0,2018年、JOJO5、乔鲁诺、布加拉提,觉悟就是在这漆黑的荒野中，开辟出一条光明坦途！,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/61/c0/61534_55bd5.jpg,2018-01-01,2018-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,青春猪头少年不会梦到兔女郎学姐,增井壮一 · CloverWorks,奇幻青春,读完,4.9,2018年、青春综合征、麻衣学姐、咲太,即便全世界都遗忘了你，我也会在操场上大声喊出喜欢你！,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/b9/45/240038_b5j7g.jpg,2018-01-01,2018-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,紫罗兰永恒花园,石立太一 · 京都动画,情感史诗,读完,5.0,2018年、京阿尼巅峰、薇尔莉特、爱是什么,我想知道‘我爱你’究竟是什么意思，自动手记人偶为你传达所有心意。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/f0/15/280837_L6VeG.jpg,2018-01-01,2018-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,碧蓝之海,高松信司 · ZERO-G,搞笑青春,读完,4.8,2018年、硬核潜水、乌龙茶(可燃)、爆笑大学,来一杯可以点燃的乌龙茶吧，这就是大学潜水社的青春！,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/1f/13/235130_suy3s.jpg,2018-01-01,2018-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,强风吹拂,野村和也 · Production I.G,运动热血,读完,5.0,2018年、箱根驿传、跑步的意义、宽政大,你喜欢跑步吗？跑步不是为了超越别人，而是为了到达属于自己的彼岸。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/d0/e0/248154_D8z6D.jpg,2018-01-01,2018-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,文豪野犬 第二季,五十岚卓哉 · BONES 骨头社,异能战斗,读完,4.8,2019年、黑之时代、织田作之助、太宰治,去成为救人的一方吧，既然在善恶哪边都一样，那就去救人吧。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/9a/1c/171068_XIwkj.jpg,2019-01-01,2019-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,灵能百分百 第二季,立川让 · BONES 骨头社,热血成长,读完,5.0,2019年、骨头社神作、最上启示、师徒情,哪怕不依靠超能力，我也想要凭借自己的双手改变人生。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/48/a6/228109_wb3bL.jpg,2019-01-01,2019-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,约会大作战 第三季,元永庆太郎 · J.C.STAFF,奇幻恋爱,读完,4.5,2019年、约战3、七罪、折纸,为了拯救折纸与精灵们，再次展开跨越时空的约会。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/99/08/49131_CIPjC.jpg,2019-01-01,2019-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,魔女之旅,洼冈俊之 · C2C,奇幻公路,读完,4.7,2020年、伊蕾娜、灰之魔女、公路物语,这是一个关于旅人与不同国度相遇的故事，那位可爱的魔女是谁呢？没错，就是我。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/99/17/292970_mxMxx.jpg,2020-01-01,2020-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,我的青春恋爱物语果然有问题。完,及川启 · feel.,青春思辨,读完,4.8,2020年、春物完结、比企谷八幡、雪之下雪乃,请将你的人生交给我，即便痛苦，我也要和你纠缠到底。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/1e/f1/54433_JZ99l.jpg,2020-01-01,2020-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,Re：从零开始的异世界生活 新编集版,渡边政治 · WHITE FOX,奇幻穿越,读完,4.9,2020年、死亡回归、菜月昴、蕾姆,哪怕从零开始，我也要在这残酷的世界里拯救所有人！,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/72/ef/296195_n0KqL.jpg,2020-01-01,2020-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,国王排名,八田洋介 · WIT STUDIO,奇幻成长,读完,4.8,2021年、波吉王子、卡克、催泪治愈,最弱小无声的聋哑王子，拥有这世上最坚强纯善的心灵。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/9a/c1/296109_8GeaM.jpg,2021-01-01,2021-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,转生成蜘蛛又怎样！,板垣伸 · Millepensee,异界转生,读完,4.6,2021年、单口相声、蜘蛛子、悠木碧,只要拼尽全力活下去，就算转生成小蜘蛛也能弑神！,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/83/73/252782_aWyEn.jpg,2021-01-01,2021-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,JOJO 的奇妙冒险 石之海,铃木健一 · david production,奇幻热血,读完,4.9,2021年、空条徐伦、普奇神父、天堂制造,这是属于乔斯达家族百年的血脉宿命，人类的觉悟跨越新世界。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/61/c0/61534_55bd5.jpg,2021-01-01,2021-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,间谍过家家,古桥一浩 · WIT STUDIO / CloverWorks,搞笑日常,读完,4.9,2022年、阿尼亚、黄昏、约尔太太,哇酷哇酷！间谍、杀手与读心术超能力少女的伪装温馨家庭。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/de/4a/329906_hmtVD.jpg,2022-01-01,2022-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,夏日重现,渡边步 · OLM,悬疑循环,读完,4.9,2022年、日都岛、时间轮回、影子病,跨越无数次死亡轮回，只为在日都岛夏日祭上拯救潮与所有人！,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/d9/f5/326895_j1S2n.jpg,2022-01-01,2022-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,孤独摇滚！,斋藤圭一郎 · CloverWorks,音乐日常,读完,5.0,2022年、波奇酱、结束乐队、社恐神作,社恐又怎样？只要抱起吉他，我的声音就能穿透整个世界！,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/e2/e7/328609_2EHLJ.jpg,2022-01-01,2022-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,蓝色监狱,渡边彻明 · 8bit,竞技热血,读完,4.8,2022年、唯我独尊、洁世一、利己主义前锋,丢掉温情脉脉的合作吧，在这里只有最疯狂的利己前锋才能生存！,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/b4/db/341163_l525N.jpg,2022-01-01,2022-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,灵能百分百 第三季,莲井隆弘 · BONES 骨头社,热血成长,读完,5.0,2022年、神树篇、告白篇、完美谢幕,接纳不完美的自己，龙套与灵幻迎来了最温暖动人的圆满结局。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/48/a6/228109_wb3bL.jpg,2022-01-01,2022-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,约会大作战 第四季,中川淳 · GEEK TOYS,奇幻恋爱,读完,4.6,2022年、本条二亚、星宫六喰、约战4,封印万由里与所有精灵的心灵之门。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/99/08/49131_CIPjC.jpg,2022-01-01,2022-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,间谍过家家 第二季,古桥一浩 · WIT STUDIO / CloverWorks,搞笑日常,读完,4.8,2023年、豪华游轮篇、约尔太太大显身手,守护家人的平静生活，就是杀手与间谍最崇高的使命。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/de/4a/329906_hmtVD.jpg,2023-01-01,2023-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,我独自升级,中重俊祐 · A-1 Pictures,爽快异能,读完,4.7,2024年、成振宇、暗影君王、站起来,从最弱E级猎人到支配死亡的暗影君王，站起来吧！,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/f5/2e/390353_07vz7.jpg,2024-01-01,2024-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,蓝色监狱 第二季,生原雄次 · 8bit,竞技热血,读完,4.7,2024年、U-20决战、怪物觉醒,赌上职业生涯的U-20代表战，让世界见证蓝色监狱的变革！,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/b4/db/341163_l525N.jpg,2024-01-01,2024-12-31,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,鬼灭之刃,外崎春雄 · Ufotable,和风热血,读完,4.9,飞碟社、炭治郎、祢豆子、无限列车,纵使身形俱灭，也定将恶鬼斩杀！心之火永不熄灭。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/9d/d1/245665_5an54.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,魔法少女小圆,新房昭之 · 虚渊玄 · SHAFT,黑暗奇幻,读完,5.0,圆神、晓美焰、爱的战士、神作,为了拯救你，我愿意在这个无限轮回的时空里战斗千百次！,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/cb/57/9717_sAVag.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,咒术回战,朴性厚 · MAPPA,热血奇幻,读完,4.8,咒术回战、虎杖悠仁、五条悟、MAPPA,在众人簇拥下死去，吞下宿傩手指的少年走向咒术之路。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/60/fe/294993_JrrzK.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,咒术回战 第二季,御所园翔太 · MAPPA,热血奇幻,读完,5.0,怀玉玉折、涩谷事变、五条悟、夏油杰,青春的夏日终究走向破碎，涩谷地下展开了最残酷的咒术大战。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/60/fe/294993_JrrzK.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,咒术回战 第三季 (死灭回游),MAPPA,热血奇幻,读完,4.8,死灭回游、羂索、乙骨忧太,死灭回游结界开启，为了解除五条悟封印而浴血奋战。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/60/fe/294993_JrrzK.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,魔都精兵的奴隶,Seven Arcs,战斗奇幻,读完,4.5,魔都精兵、羽前京香、奴隶契约,成为魔防队长的专属奴隶，在魔都阴影中斩杀丑鬼。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/ae/19/357962_eEjJA.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,魔都精兵的奴隶 第二季,Passione,战斗奇幻,读完,4.5,魔都精兵2、八雷神、魔防队,更深层次的魔都隐秘揭开，强敌八雷神降临。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/ae/19/357962_eEjJA.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,我推的孩子 第二季,平牧大辅 · 动画工房,演艺悬疑,读完,4.9,东京BLADE、舞台剧篇、黑川茜、有马加奈,在东京BLADE舞台上释放真正的演技，阿库亚直面复仇心魔。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/d1/1c/443428_FIhFu.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,我推的孩子 第三季,动画工房,演艺悬疑,读完,4.8,我推的孩子3、偶像与复仇、真相逼近,B小町全国巡演与隐藏在黑暗中的终极幕后黑手。,已完成追番 · 留存在《阅痕》的珍贵青春印记,https://lain.bgm.tv/pic/cover/l/d1/1c/443428_FIhFu.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,玉子市场,山田尚子 · 京都动画,日常治愈,wishlist,,待看清单、京阿尼、兔山商店街、大路饼藏,兔山商店街的温馨人情，会说人话的奇妙鸟与纯真青春。,加入个人待看追番清单,https://lain.bgm.tv/pic/cover/l/f8/7f/55113_TR5Is.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,某科学的超电磁炮,长井龙雪 · J.C.STAFF,超能战斗,wishlist,,待看清单、炮姐、御坂美琴、唯我超电磁炮,学园都市最强LV5超电磁炮，硬币弹起的瞬间就是正义。,加入个人待看追番清单,https://lain.bgm.tv/pic/cover/l/37/5a/98371_zdWKw.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,凉宫春日的忧郁,石原立也 · 京都动画,校园科幻,wishlist,,待看清单、SOS团、凉宫春日、漫无止境的八月,我对普通的人类没有兴趣，如果你们之中有外星人、未来人、超能力者，就来找我吧！,加入个人待看追番清单,https://lain.bgm.tv/pic/cover/l/21/8a/485_Et062.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,中二病也要谈恋爱！,石原立也 · 京都动画,青春恋爱,wishlist,,待看清单、京阿尼、邪王真眼、六花与勇太,被漆黑烈焰吞噬吧！爆裂吧现实，粉碎吧精神，放逐这个世界！,加入个人待看追番清单,https://lain.bgm.tv/pic/cover/l/c8/e4/72942_VniXv.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
番剧,冰菓,武本康弘 · 京都动画,青春推理,wishlist,,待看清单、京阿尼巅峰、折木奉太郎、我很好奇,做没有必要做的事情就不要做，必须做的事情就从简。但是，我很好奇！,加入个人待看追番清单,https://lain.bgm.tv/pic/cover/l/cd/38/27364_1ZFmr.jpg,,,Bilibili / 官方正版番剧,展厅第3层 · 经典番剧回廊,TV / 剧场版动画,
